index,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name,character,role,credit_count
43687,tm353791,Seven Sundays,MOVIE,2017,NR,128,"['drama', 'comedy']",['PH'],tt7502214,8.0,456.0,3.045,8.5,148043,Kakai Bautista,Unavailable,ACTOR,5
43689,tm353791,Seven Sundays,MOVIE,2017,NR,128,"['drama', 'comedy']",['PH'],tt7502214,8.0,456.0,3.045,8.5,70044,Jeffrey Tam,Unavailable,ACTOR,3
43690,tm353791,Seven Sundays,MOVIE,2017,NR,128,"['drama', 'comedy']",['PH'],tt7502214,8.0,456.0,3.045,8.5,141692,Cathy Garcia-Molina,Unavailable,DIRECTOR,12
43691,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,24925,Jed Rees,Roland,ACTOR,3
43692,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,3072,Richard Riehle,Santa Claus,ACTOR,5
43694,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,1700718,Denisse Ojeda,Ida,ACTOR,3
43698,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,49338,David DeLuise,Steven,ACTOR,3
43699,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,25746,Kaitlyn Maher,Tiny,ACTOR,3
43700,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,842534,Mackenzie Sol,P.U.P.,ACTOR,3
43703,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,4680,Diedrich Bader,Kano,ACTOR,4
43709,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,6584,Steve Valentine,Simon Growl,ACTOR,3
43716,tm444576,Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],tt8861786,4.0,248.0,6.999,5.7,29739,Robert Vince,Unavailable,DIRECTOR,3
43718,tm434776,Mo Amer: The Vagabond,MOVIE,2018,NR,56,"['comedy', 'documentation']",['US'],tt9060526,7.0,799.0,2.008,5.7,64710,Stan Lathan,Unavailable,DIRECTOR,4
43722,tm445258,Marriage Palace,MOVIE,2018,NR,102,['comedy'],['XX'],tt8852242,6.0,180.0,1.4,7.0,263069,B.N. Sharma,Satnam Satti,ACTOR,3
43733,tm411508,Mahi NRI,MOVIE,2017,NR,132,"['comedy', 'drama']",['IN'],tt5910902,6.0,83.0,1.134,2.0,881945,Harrdy Sandhu,Unavailable,ACTOR,3
43735,tm411508,Mahi NRI,MOVIE,2017,NR,132,"['comedy', 'drama']",['IN'],tt5910902,6.0,83.0,1.134,2.0,197687,Navneet Nishan,Unavailable,ACTOR,3
43736,tm411508,Mahi NRI,MOVIE,2017,NR,132,"['comedy', 'drama']",['IN'],tt5910902,6.0,83.0,1.134,2.0,263069,B.N. Sharma,Unavailable,ACTOR,3
43738,tm319477,Rodney King,MOVIE,2017,NR,52,"['crime', 'comedy', 'drama', 'history', 'documentation']",['US'],tt6624312,6.0,601.0,2.444,5.2,7278,Roger Guenveur Smith,Rodney King,ACTOR,3
