index,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name,character,role,credit_count
44146,tm368697,Unexpectedly Yours,MOVIE,2017,NR,120,"['romance', 'comedy']",['PH'],tt7686876,7.0,178.0,1.987,7.5,224916,Julia Barretto,Yanni,ACTOR,4
44147,tm368697,Unexpectedly Yours,MOVIE,2017,NR,120,"['romance', 'comedy']",['PH'],tt7686876,7.0,178.0,1.987,7.5,231085,Joshua Garcia,Jason,ACTOR,4
44148,tm368697,Unexpectedly Yours,MOVIE,2017,NR,120,"['romance', 'comedy']",['PH'],tt7686876,7.0,178.0,1.987,7.5,141692,Cathy Garcia-Molina,Unavailable,DIRECTOR,12
44149,tm452767,Next Enti?,MOVIE,2018,NR,157,"['drama', 'romance', 'comedy']",['XX'],tt6972212,5.0,159.0,1.423,3.8,45434,Tamanna Bhatia,Tammy,ACTOR,4
44154,tm452767,Next Enti?,MOVIE,2018,NR,157,"['drama', 'romance', 'comedy']",['XX'],tt6972212,5.0,159.0,1.423,3.8,160928,Harshavardhan,Sanju's Friend,ACTOR,3
44156,tm452767,Next Enti?,MOVIE,2018,NR,157,"['drama', 'romance', 'comedy']",['XX'],tt6972212,5.0,159.0,1.423,3.8,234214,Atul Sharma,Mr. Oberoi father,ACTOR,3
44170,tm368006,Harith Iskander: I Told You So,MOVIE,2018,NR,61,['comedy'],['US'],tt7902184,5.0,172.0,2.547,5.5,318559,Michael McKay,Unavailable,DIRECTOR,3
44181,tm309251,Kanavu Variyam,MOVIE,2017,G,118,"['scifi', 'family', 'drama']",['IN'],tt5283434,6.0,144.0,1.262,7.0,67382,Ilavarasu,Appa,ACTOR,5
44185,tm309251,Kanavu Variyam,MOVIE,2017,G,118,"['scifi', 'family', 'drama']",['IN'],tt5283434,6.0,144.0,1.262,7.0,341235,Senthikumari,Ezhil's mother,ACTOR,3
44189,tm320949,Simplemente Manu NNa,MOVIE,2017,NR,71,['comedy'],['MX'],tt6833550,6.0,50.0,1.285,3.8,211560,Raúl Campos,Unavailable,DIRECTOR,21
44190,tm320949,Simplemente Manu NNa,MOVIE,2017,NR,71,['comedy'],['MX'],tt6833550,6.0,50.0,1.285,3.8,590250,Jan Suter,Unavailable,DIRECTOR,20
44194,tm438423,For the Broken Hearted,MOVIE,2018,NR,92,['drama'],['PH'],tt9074344,7.0,94.0,1.595,2.0,242066,Marco Gumabao,Rj,ACTOR,4
44197,tm438423,For the Broken Hearted,MOVIE,2018,NR,92,['drama'],['PH'],tt9074344,7.0,94.0,1.595,2.0,148837,Andrea Del Rosario,Shalee's Mom,ACTOR,3
